"type","name","crs__type","crs__properties__name","features__type","features__properties__siteid","features__properties__Name","features__properties__LastBusiness","features__properties__LastYear","features__properties__LastBusinessType","features__properties__PhysicalAddress","features__properties__County","features__properties__Town","features__properties__ZipCode","features__properties__SiteType","features__properties__Latitude","features__properties__Longitude","features__properties__NumEmployeesPeak","features__properties__NumEmployeesRecent","features__properties__CurrentOwnerContactName","features__properties__CurrentOwnerContactInfo","features__properties__RealEstateBrokerContactName","features__properties__RealEstateBrokerContactInfo","features__properties__CommunityContact1Name","features__properties__CommunityContact1Info","features__properties__CommunityContact2Name","features__properties__CommunityContact2Info","features__properties__CommunityContact3Name","features__properties__CommunityContact3Info","features__properties__CommunityContact4Name","features__properties__CommunityContact4Info","features__properties__Zoning","features__properties__TIFIncentive","features__properties__TIFProgramDesc","features__properties__TotalAcres","features__properties__DevelopedAcres","features__properties__UndevelopedAcres","features__properties__BrownfieldAcres","features__properties__GreenfieldAcres","features__properties__AcresDesc","features__properties__BuildingTotSqFt","features__properties__BuildingTotSqFtDesc","features__properties__RailService","features__properties__AirportService","features__properties__InterstateHighwayProximity","features__properties__DeepWaterAccessProximity","features__properties__RawStocksProximity","features__properties__ForestProximity","features__properties__WastewaterTreatment","features__properties__WaterSupply","features__properties__Landfill","features__properties__CoGen","features__properties__BaseloadPowerAvailable","features__properties__BoilerPresent","features__properties__BoilerDescription","features__properties__NaturalGasSupply","features__properties__DigesterPresent","features__properties__DigesterDescription","features__properties__PulpMillPresent","features__properties__PulpMillDescription","features__properties__WoodyardPresent","features__properties__WoodyardDescription","features__properties__EnergyPlatformDescription","features__properties__OtherMachineryAssets","features__properties__UniqueStructures","features__properties__Capacity","features__properties__BuildingAssetDescription","features__properties__ExistingPermits","features__properties__PastPermits","features__properties__SiteContamination","features__properties__HazMatReportsExist","features__properties__HazMatReportsDescription","features__properties__PurchasePrice","features__properties__AssessedValue","features__properties__PropertyTax","features__properties__Workforce","features__properties__UniqueFeatureOpp","features__properties__Notes","features__properties__COCorBusAssoc","features__properties__COCorBusAssocContactInfo","features__properties__CommunityAmb1","features__properties__CommunityAmb2","features__properties__CommunityAmb3","features__properties__CommunityInterest","features__properties__WorkforceAvailability","features__properties__HousingAvailability","features__properties__OtherCommunityAssets","features__properties__School","features__properties__Fire","features__properties__Police","features__properties__EMS","features__properties__Water","features__properties__Sewer","features__properties__Electric","features__properties__OtherInfrastructure","features__geometry__type","features__geometry__coordinates__001","features__geometry__coordinates__002"
"FeatureCollection","siteSelection","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature","Site 2","Stored Solar/Convanta","","","","61 Whitneyville Rd","","Jonesboro","4648","BioMass","44.67942","-67.54704","","","","","","","","","","","","","","","","","","","","","","","","","","Rail","","I95","Cargo Port","","","","","","","","Yes","Biomass, Wood, CFB boiler","","","","Yes","accepts wood chips, bark, tree limbs, mill residue and other clean forest-related biomass","","","","Fluidized bed circulating burner","Co-located greenhouse","550 dry tons of biomass waste materials, producing 24.5 MWhrs of electricity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Point","-67.54704","44.67942"
"","","","","Feature","Site 1","Stored Solar/Convanta","","","","1231 Main Rd","","West Enfield","4493","BioMass","45.25432","-68.62816","","44","","","","","","","","","","","","","","","","","","","","","","","","Rail","","","","","","","","","","","Yes","Wood Biomass (fluidized bed), CFB Boiler, B&W","","","","Yes","accepts wood chips, bark, tree limbs, mill residue and other clean forest-related biomass","","","","","136 ft tall stack","550 dry tons of biomass waste materials, producing 24.5 MWhrs of electricity","","","","","","","","","","","","saw more than 6,500,000 board feet each year. Bought by Stored Solar. Unable to reach Stored Solar. Others in industry can't guage them well, either.","","","","","","","","","","","","","","","","","","Point","-68.62816","45.25432"
"","","","","Feature","Site 6","Lincoln Paper & Tissue","LP&T","","","50 Katahdin Ave","","Lincoln","4457","Paper Mill","45.36639","-68.51007","","","Keith Van Scotter","","","","Bruce Arnold, Interim Town Manager","63 Main Street, Lincoln, ME 04457, 207-794-3372, town.manager@lincolnmaine.org","Ruth Birtz, Assessor-Economic Dev. Official","63 Main Street, Lincoln, ME 04457, 207-794-3372 assessor@lincolnmaine.org","Bruce Arnold, Code Enforcement","63 Main Street, Lincoln, ME 04457, 207-794-3372","","","Industrial","","","","","","80","30","","","","","","","","","","Yes","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","Soft wood","Lincoln Lakes Region Chamber of Commerce","","","","","","","","","RSU 67, Supt. Keith Laser, 794-6500","Full Time, Chief Daniel Summers, 207-794-8455","Full Time, Chief Daniel Summers, 207-794-8455","Full Time, Chief Daniel Summers, 207-794-8455","Supt. Jeffrey Day, 207-794-2921","Supt. Scott Hesseltine, 207-794-8244","","","Point","-68.51007","45.36639"
"","","","","Feature","Site 7","Sappi Mill","","","BioMass/Paper","89 Cumberland St","","Westbrook","4092","Multi Use","43.68552","-70.35056","","","","","","","","","","","","","","","","","","","","200","","","","","","Rail","","10 miles","Portland","","","Primary and Secondary with variation facility in between","","","","","Yes","Biomass boiler and recovery boiler, 2 turbines, 70 MW hydroelectric station","","","","","","Yes","Only for biomass","Biomass & Natural Gas","","","600-700,000 tons/day of wood","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Point","-70.35056","43.68552"
"","","","","Feature","Site 8","Verso Mill","","","","2 River Road","","Bucksport","4416","Paper Mill","44.57642","-68.80405","","","AIM","Jeff McGlin, Vice President AIM Development USA, 920-470-1061, jmcglin@aimrecyclinggroup.com","","","Rich Rotella, Commnunity & Economic Development Director","50 Main Street, P.O. Drawer X, Bucksport, Maine 04416, 207-469-7368, rich.rotella@bucksportmaine.gov","Susan Lessard, Town Manager","50 Main Street, P.O. Drawer X, Bucksport, ME 04416, 207-469-7368, slessard@bucksportmaine.gov","James Fitzgerald, Assessor","207-469-7949","Jeffrey Hammond, Code Enforcement","207-469-7368","","","","186","","","","","186 acres on both sides of road","","","Yes, Pam","","18 miles","Penobscot","","","","","Yes","","","Yes","16 MW Biomass","","","","","","","","Wood solids, oil, natural gas","Paper lines","","","","","","","","","","","","","","","","","","","","","","","","RSU 25, James Boothby, Supt., 207-469-7311","Full Time, Chief Craig Bowden, 207-469-7951","Full Time, Chief Sean Geaghan, 207-469-7951","Full Time, Chief Craig Bowden, 207-469-7951","Maine Water Company","Municipal Dept., Supt. David Michaud, 207-469-0021","","","Point","-68.80405","44.57642"
"","","","","Feature","Site 10","ReEnergy (Stratton)","","","","27 Fox Farm Rd","","Stratton","4982","BioMass","45.14009","-70.42688","","","","","","","","","","","","","","","","","","","100","","","","100 acre parcel adjacent","","","1 mile, no spur to facility","","50-60 miles","No (2.5 hrs)","Yes, ample stocks","","No","","","48 MW (could serve as cogen)","","Yes","","","","","","","","","","","","48 MW","","","","","","","","","","Able to recruit and available labor from paper mill decline","","","","","","","","","","","","","","","","","","","","Point","-70.42688","45.14009"
"","","","","Feature","Site 11","ReEnergy (Fort Fairfield)","","","","Cheney Grove","","Fort Fairfield","4742","BioMass","46.77377","-67.84578","","","","","","","","","","","","","","","","","","","60","","","","60 acre parcel adjacent","","","Yes, spur to site","","10 miles (trans canada)","No (3 hrs)","Yes, ample stocks","","Town","","","37 MW (could serve as cogen)","","Yes","","","","","","","","","","","","37 MW","","","","","","","","","","Able to recruit and available labor from paper mill decline","","","","","","","","","","","","","","","","","","","","Point","-67.84578","46.77377"
"","","","","Feature","Site 12","ReEnergy (Ashland)","","","","63 Realty Road","","Ashland","4732","BioMass","46.63403","-68.437","","","","","","","","","","","","","","","","","","","100","","","","100+ acre parcel adjacent","","","Yes, spur to site","","40-50 miles","No (1.5 hrs)","Yes, ample stocks","","Town","","","39 MW (could serve as cogen)","","Yes","","","","","","","","","","","","39 MW","","","","","","","","","","Able to recruit and available labor from paper mill decline","","","","","","","","","","","","","","","","","","","","Point","-68.437","46.63403"
"","","","","Feature","Site 13","ReEnergy (Livermore Falls)","","","","267 Diamond Rd","","Livermore Falls","4254","BioMass","44.43247","-70.16009","","","","","","","","","","","","","","","","","","","50","","","","50 acre parcel adjacent","","","No","","70-80 miles","No (2.5 hrs)","Yes, ample stocks","","No","","","39 MW (could serve as cogen)","","Yes","39.6 MW Zurn Boiler","","","","","","","","","","","39 MW","","","","","","","","","","Able to recruit and available labor from paper mill decline","","","","","","","","","","","","","","","","","","","","Point","-70.16009","44.43247"
"","","","","Feature","Site 14","Robbins Lumber Co","","","","53 Ghent Rd","","Searsmont","4973","BioMass","44.33518","-69.20048","","","Alden Robbins","207-342-5221, arobbins@rlco.com","","","","","","","","","","","","","","","40","","","","40+/- (mill site) Adequate","","","No","","30 miles","No","Yes","","Settling pond (building a wastewater treatment facility)","","","Yes (mothballed 1.5 MW and building new)","","Yes","","","","","","","","","","","","","","","","","","","","","","Adequate","","","","","","","","","","","","","","","","","","","","Point","-69.20048","44.33518"
